Golongan Mu'min|2:1-5
Keistimewaan dan perbedaan derajat rasul-rasul|2:253-253
Anjuran membelanjakan harta|2:254-254
Ayat Kursi|2:255-255
Tidak ada paksaan memasuki agama Islam|2:256-257
Membangkitkan kembali orang-orang yang sudah mati|2:258-260
Menafkahkan harta di jalan Allah|2:261-274
Hukum riba|2:275-281
Kesaksian dalam mu'amalah|2:282-283
Pujian Allah terhadap para mu'min dan do'a mereka|2:284-0
Al Qur'an dan Kitab-kitab yang sebelumnya|3:1-9
Ancaman Allah kepada orang-orang kafir dan pengaruh harta benda duniawi|3:10-17
Pernyataan Allah tentang keesaan dan keadilan-Nya serta agama yang diridhai-Nya|3:18-20
Pembalasan terhadap orang-orang yang membunuh nabi-nabi|3:21-22
Orang-orang Yahudi berpaling dari hukum Allah|3:23-25
Bukti-bukti kekuasaan dan kebenaran Allah s.w.t.|3:26-27
Larangan berpihak kepada orang kafir|3:28-30
Bukti cinta kepada Allah s.w.t.|3:31-32
Keutamaan keluarga 'Imran|3:33-44
Kisah Al Masih 'Isa Putera Maryam|3:45-63
Ajakan kepada agama Tauhid "Millatu Ibrahim"|3:64-68
Sikap ahli Kitab terhadap orang Islam|3:69-74
Keburukan-keburukan orang Yahudi|3:75-78
Seorang nabi tidak akan menyuruh manusia menyembah dirinya|3:79-80
Janji para nabi kepada Allah tentang kenabian Muhammad s.a.w.|3:81-91
Janji para nabi kepada Allah tentang kenabian Muhammad s.a.w. (lanjutan)|3:92-92
Bantahan terhadap larangan orang Yahudi tentang makanan|3:93-95
Bantahan terhadap pengakuan Ahli Kitab tentang rumah ibadah yang pertama|3:96-99
Keharusan menjaga persatuan|3:100-109
Kelebihan umat islam dari umat yang lain|3:110-115
Perumpamaan harta yang dinafkahkan orang-orang kafir|3:116-117
Larangan mengambil orang Yahudi sebagai teman kepercayaan|3:118-120
Sabar dan tawakkal kepada Allah pangkal kemenangan|3:121-131
Perintah ta'at kepada Allah dan Rasul serta sifat-sifat orang-orang yang bertakwa|3:132-148
Peringatan supaya waspada terhadap ajakan orang-orang kafir|3:149-151
Sebab-sebab kekalahan umat Islam dalam perang Uhud|3:152-155
Menanamkan jiwa berkorban dan berjihad|3:156-158
Akhlak dan beberapa sifat nabi Muhammad s.a.w.|3:159-164
Beberapa sifat orang-orang munafik|3:165-168
Pahala orang-orang yang mati syahid|3:169-175
Ayat-ayat untuk menenteramkan hati Nabi Muhammad s.a.w.|3:176-179
Kebakhilan dan dusta serta balasannya|3:180-189
Faedah selalu ingat kepada Allah dan merenungkan ciptaan-Nya|3:190-0
Kewajiban para washi terhadap asuhannya dan kewajiban para wali terhadap orang yang dibawah perwaliannya|4:1-6
Pokok-pokok hukum warisan|4:7-14
Dasar-dasar untuk menetapkan perbuatan-perbuatan keji dan hukumnya|4:15-18
Cara bergaul dengan isteri|4:19-21
Beberapa hukum perkawinan|4:22-23
Beberapa hukum perkawinan (lanjutan)|4:24-28
Islam melindungi hak milik laki-laki dan perempuan|4:29-33
Beberapa peraturan hidup bersuami-isteri|4:34-42
Kesucian lahir dan batin dalam sembahyang|4:43-43
Orang-orang yang tidak suci batinnya dan ancaman Allah terhadap mereka|4:44-70
Keharusan siap siaga terhadap musuh|4:71-76
Sikap orang-orang munafik dalam menghadapi peperangan|4:77-83
Kewajiban berperang dan beberapa adab-adabnya|4:84-87
Cara menghadapi orang-orang munafik|4:88-91
Hukum membunuh seseorang muslim|4:92-93
Berlaku telitilah mengambil suatu tindakan|4:94-94
Perbedaan antara orang yang berjihad dan yang tidak berjihad karena uzur, dengan yang tidak berjihad|4:95-96
Kewajiban berhijrah di jalan Allah dan balasannya|4:97-100
Kewajiban mengerjakan shalat dalam keadaan bagaimanapun|4:101-104
Keharusan adil dan tidak memihak dalam menetapkan sesuatu hukum|4:105-115
Kejelekan syirik dan pengaruh syaitan|4:116-122
Pembalasan itu sesuai dengan perbuatan bukan menurut angan-angan|4:123-126
Keharusan memberikan hak-hak orang yang lemah dan cara menyelesaikan kesulitan rumah tangga|4:127-130
Keharusan bertakwa|4:131-134
Keharusan berlaku adil|4:135-136
Beberapa kejelekan orang munafik|4:137-147
Larangan melontarkan ucapan-ucapan buruk kepada seseorang|4:148-149
Akibat kekafiran dan buah keimanan|4:150-152
Pembalasan Allah terhadap pelanggaran-pelanggaran orang-orang Yahudi|4:153-162
Persamaan pokok-pokok Agama yang diwahyukan kepada para rasul|4:163-170
Pandangan Al Qur'an terhadap Nabi 'Isa a.s.|4:171-175
Masalah pusaka Kalalah|4:176-86
Larangan mengharamkan makanan yang halal|5:87-88
Sumpah dan kaffaratnya|5:89-89
Larangan meminum khamar, berjudi, berkorban untuk berhala dan mengundi nasib|5:90-93
Menghormati Ka'bah sebagai sokoguru kehidupan manusia|5:94-100
Larangan bertanya tentang hal yang menyebabkan kemudharatan|5:101-0
Dalil-dalil tentang keesaan Allah|6:1-3
Sebab-sebab kekafiran kaum musyrikin dan ancaman terhadap mereka|6:4-32
Firman Allah yang membesarkan hati Nabi Muhammad s.a.w.|6:33-37
Kesempurnaan ilmu Allah dan bukti-bukti kekuasaanNya|6:38-10
Penghargaan Allah s.w.t. kepada Nabi Adam a.s. dan keturunannya|7:11-25
Peringatan Allah terhadap godaan Syaitan|7:26-30
Adab berpakaian, makan dan minum|7:31-33
Pengutusan para rasul dan akibat penerimaan dan penolakan kerasulan|7:34-53
Siapakah Tuhan semesta alam dan bagaimana bermohon kepadaNya ?|7:54-56
Bukti kekuasaan Allah membangkitkan manusia sesudah mati|7:57-58
Kisah Nabi Nuh a.s.|7:59-64
Kisah Nabi Hud a.s.|7:65-72
Kisah Nabi Shaleh a.s.|7:73-79
Kisah Nabi Luth a.s.|7:80-84
Kisah Nabi Syu'aib a.s.|7:85-87
Kisah Nabi Syu'aib a.s. (Lanjutan)|7:88-102
Kisah Nabi Musa a.s.|7:103-171
Ketauhidan sesuai dengan fitrah manusia|7:172-174
Perumpamaan orang-orang yang mendustakan ayat-ayat Allah|7:175-177
Sifat-sifat penghuni neraka|7:178-179
Kedatangan azab Allah kepada orang-orang yang mendustakan ayat-ayat-Nya dengan cara istidraj|7:180-186
Hanya Allah-lah yang mengetahui waktu datangnya hari kiamat|7:187-188
Tuhan mengingatkan manusia kepada asal usul kejadiannya|7:189-193
Berhala tidak patut disembah|7:194-198
Dasar-dasar al-akhlaqul kariimah|7:199-0
Cara pembagian ghanimah terserah kepada Allah dan Rasul|8:1-1
Sifat-sifat orang mu'min|8:2-4
Keengganan sebahagian sahabat untuk pergi ke peperangan Badar dan pertolongan Allah kepada kaum muslimin|8:5-14
Larangan melarikan diri dari pertempuran|8:15-19
Larangan menyalahi perintah-perintah Allah|8:20-23
Kewajiban menta'ati perintah Allah dan Rasul-Nya|8:24-26
Larangan berkhianat dan faedah bertakwa|8:27-29
Permusuhan kaum musyrkin terhadap Nabi dan kewajiban memerangi mereka sampai terpelihara agama Allah|8:30-40
Cara pembagian ghanimah|8:41-41
Rahmat Allah kepada kaum Muslimin dalam peperangan Badar|8:42-44
Kewajiban berteguh hati, bersatu dalam peperangan dan larangan berlaku sombong dan riya'|8:45-47
Pengkhianatan syaitan terhadap janjinya kepada pengikut-pengikutnya|8:48-51
Kebinasaan sesuatu kaum adalah lantaran perbuatan mereka sendiri|8:52-57
Syirik adalah dosa yang paling besar dan sikap menghadapi kaum musyrikin dalam peperangan|8:58-60
Cinta perdamaian dan keharusan mempertebal semangat jihad|8:61-0
Orang Islam bebas dari tanggung jawab terhadap perjanjian dengan kaum musyrikin|9:1-4
Pengumuman perang terhadap musyrikin|9:5-6
Sebab-sebab Perjanjian damai dibatalkan|9:7-15
Ujian keimanan|9:16-16
Orang-orang yang layak memakmurkan masjid|9:17-24
Umat Islam mendapat kemenangan dalam pelbagai pertempuran|9:25-37
Perintah untuk berjihad|9:38-43
Hanya orang munafiklah yang tidak mau berperang|9:44-57
Sikap orang munafik terhadap pembagian sedekah|9:58-59
Ketentuan pembagian zakat|9:60-61
Tuduhan-tuduhan orang munafik terhadap Nabi|9:62-66
Hasutan-hasutan orang-orang munafik dan ancaman Allah kepada mereka|9:67-70
Anjuran kepada orang-orang mu'min dan janji Allah terhadap mereka|9:71-72
Keharusan bersikap tegas terhadap orang-orang kafir dan munafik|9:73-74
Ikrar orang munafik tak dapat dipercaya|9:75-78
Kemunafikan adalah dosa yang tidak diampuni Allah|9:79-80
Keadaan orang-orang munafik yang tidak mau berjihad|9:81-83
Larangan menyembahyangkan jenazah orang munafik|9:84-85
Keengganan orang munafik untuk berjihad dan pahala orang yang berjihad|9:86-90
Uzur-uzur yang dibenarkan syara' untuk tidak berjihad|9:91-93
Uzur-uzur yang dibenarkan syara' untuk tidak berjihad (lanjutan)|9:94-102
Keharusan penguasa memungut zakat|9:103-106
Keharusan waspada terhadap tipu muslihat orang yang mempergunakan mesjid sebagai alatnya|9:107-110
Penghargaan Allah terhadap para syuhada|9:111-112
Larangan memintakan ampun untuk orang musyrik|9:113-0
Wahyu dan dasar-dasar kebenarannya|10:1-6
Pembalasan terhadap pengingkaran dan penerimaan wahyu|10:7-18
Manusia adalah satu umat yang memeluk agama yang satu|10:19-20
Perlakuan Allah yang penuh rahmat|10:21-24
Seruan Allah ke Darussalam dan penolakan terhadapnya|10:25-36
Jaminan Allah tentang kemurnian Al Qur'an|10:37-53
Penyesalan manusia di akhirat kelak|10:54-60
Segala perbuatan manusia tidak lepas dari pengawasaan Allah|10:61-61
Wali-wali Allah dan berita gembira bagi mereka|10:62-70
Kisah Nuh a.s., Musa a.s. dan Yunus a.s. untuk jadi tamsil ibarat bagi manusia|10:71-103
Da'wah Islam|10:104-0
Perintah menyembah Allah|11:1-4
Perbedaan sifat-sifat orang kafir dan sifat-sifat orang mukmin|11:5-5
Perbedaan sifat-sifat orang kafir dan sifat-sifat orang mukmin (lanjutan)|11:6-11
Kebenaran wahyu|11:12-24
Kisah Nabi Nuh a.s|11:25-49
Kisah Nabi Huud a.s.|11:50-60
Kisah Nabi Shaleh a.s.|11:61-68
Kisah Nabi Ibrahim a.s. dan Nabi Luth a.s.|11:69-83
Kisah Nabi Syu'aib a.s.|11:84-95
Kisah Nabi Musa a.s.|11:96-99
Pelajaran dari kisah-kisah beberapa Nabi|11:100-0
Yusuf bermimpi|12:1-6
Yusuf dengan saudara-saudaranya|12:7-19
Yusuf mendapat godaan|12:20-29
Yusuf dipenjara|12:30-35
Da'wah Yusuf dalam penjara|12:36-42
Ta'bir Yusuf tentang mimpi raja|12:43-49
Yusuf dibebaskan dari penjara|12:50-52
Yusuf dibebaskan dari penjara (lanjutan)|12:53-57
Pertemuan Yusuf a.s dengan saudara-saudaranya|12:58-93
Pertemuan Yusuf a.s. dengan kedua orang tuanya|12:94-100
Doa Yusuf a.s.|12:101-101
Pelajaran yang dapat diambil dari kisah Yusuf a.s.|12:102-0
PENUTUP|13:1-0
Bukti-bukti kekuasaan Allah dan kesempurnaan ilmu-Nya|13:1-10
Kebangkitan dan keruntuhan suatu bangsa tergantung pada sikap dan tindakan mereka sendiri|13:11-11
Tanda-tanda keesaan Allah s.w.t.|13:12-17
Beberapa sifat dan perbuatan yang mulia dalam Islam|13:18-24
Diantara sifat dan perbuatan orang-orang yang ingkar kepada Allah|13:25-27
Ketenteraman hati orang-orang yang beriman serta pembalasan bagi mereka|13:28-29
Allah mengutus Muhammad s.a.w. kepada umatnya sebagaimana Dia mengutus Rasul-rasul kepada umat-umat mereka|13:30-30
Al Quraan kitab yang menggoncangkan dunia|13:31-31
Penentang-penentang Rasul pasti akan hancur|13:32-34
Gambaran syurga|13:35-35
Orang mu'min menerima Al Quraan keseluruhannya|13:36-37
Hidup berkeluarga tidak berlawanan dengan kerasulan|13:38-38
Tiap-tiap masa mempunyai tantangan dan jawabannya sendiri-sendiri|13:39-0
PENUTUP|14:1-0
Al Quraan menunjuki semua umat manusia ke jalan yang terang|14:1-3
Musa a.s. dan rasul-rasul sebelum Nabi Muhammad s.a.w. adalah pemimpin kaum mereka masing-masing|14:4-7
Tiap kebenaran pada permulaannya ditolak|14:8-12
Akibat yang diderita oleh kaum yang menolak kebenaran|14:13-27
Akibat kufur kepada ni'mat Allah serta mempersekutukan-Nya|14:28-30
Perintah-perintah Allah untuk mendirihan shalat dan memberikan sedekah|14:31-31
Beberapa ni'mat Allah yang dilimpahkan kepada hamba-hamba-Nya|14:32-41
Orang yang zalim pasti dapat azab|14:42-45
Segala makar akan gagal|14:46-50
Kisah Nabi Ibrahim a.s. dengan tamunya|15:51-58
Kisah Nabi Luth a.s.|15:59-77
Kisah kaum Nabi Syu'aib a.s.|15:78-79
Kisah kaum Tsamud|15:80-0
Kepastian hari kiamat dan kebenaran wahyu|16:1-2
Alam itu merupakan suatu kesatuan yang membuktikan kekuasaan Maha Pencipta|16:3-21
Ketakaburan menjadikan seseorang ingkar kepada kebenaran|16:22-25
Orang yang berbuat makar pasti mengalami kehancuran|16:26-29
Balasan bagi orang-orang yang bertakwa|16:30-32
Orang yang binasa karena perbuatannya|16:33-35
Tiap-tiap umat mempunyai rasul yang diutus untuk menerangkan kebenaran|16:36-50
Manusia yang dalam keadaan terjepit ingat kembali kepada Allah|16:51-60
Tidak wajarnya sikap orang-orang musyrik menisbahkan sesuatu kepada Allah|16:61-64
Segi-segi pelajaran yang dapat diambil dari kehidupan alam semesta|16:65-83
Tiap-tiap rasul menjadi saksi atas umatnya di hari kiamat|16:84-89
Pokok-pokok akhlak yang baik|16:90-100
Allah lebih mengetahui apa yang bermanfa'at dan yang sesuai dengan suatu masa|16:101-103
Orang yang jauh dari hidayah Allah|16:104-113
Makanan yang halal dan yang haram|16:114-119
Nabi Ibrahim a.s. adalah teladan yang baik|16:120-124
Dasar-dasar da'wah dan sikap Islam terhadap lawan|16:125-0
Israa' dari Mekah ke Baitul Maqdis sebagai penghormatan terhadap Nabi Muhammad s.a.w.|17:1-1
Penghormatan terhadap Nabi Musa a.s. dengan menurunkan Taurat kepadanya|17:2-3
Kehancuran Bani Israil karena tidak mengikuti ajaran Taurat|17:4-8
Al Qur'an petunjuk ke jalan yang benar|17:9-12
Tiap-tiap orang memikul dosanya sendiri|17:13-22
Beberapa tata krama pergaulan|17:23-41
Sanggahan-sanggahan terhadap orang-orang yang mempersekutukan Allah s.w.t.|17:42-44
Orang-orang kafir tidak dapat memahami Al Qur'an|17:45-48
Bagaimana cara membantah keingkaran kaum musyrikin|17:49-57
Kaum yang ingkar pasti mendapat hukuman|17:58-60
Permusuhan dan godaan syaitan terhadap manusia yang menyebabkan kekufurannya|17:61-65
Peringatan-peringatan tentang ni'mat Allah dan beberapa kejadian pada hari kiamat|17:66-72
Perlawanan terhadap Nabi Muhammad s.a.w. akan gagal, seperti terhadap nabi-nabi dahulu|17:73-77
Petunjuk-petunjuk Allah dalam menghadapi tantangan|17:78-85
Tantangan Dari Nabi Muhammad s.a.w. terhadap manusia untuk menandingi Al Qur'an|17:86-93
Keingkaran orang-orang kafir, dan bantahan terhadapnya|17:94-100
Beberapa kisah pengalaman Nabi Musa a.s. sebagai pelipur kesusahan hati Nabi Muhammad s.a.w.|17:101-0
MUQADDIMAH|18:1-26
Teguran kepada Nabi agar jangan mementingkan orang-orang terkemuka saja dalam da'wah|18:27-31
Tamsil kehidupan dunia dan orang-orang yang tertipu padanya|18:32-46
Beberapa kejadian pada hari kiamat dan kedurhakaan Iblis|18:47-53
Akibat tidak mengindahkan peringatan-peringatan Allah s.w.t.|18:54-59
Nabi Musa a.s. bertemu dengan Khidhr a.s.|18:60-70
Khidhr membocorkan perahu|18:71-73
Khidhr membunuh seorang anak|18:74-74
Khidhr membunuh seorang pemuda (lanjutan)|18:75-76
Khidhr membetulkan dinding rumah|18:77-77
Hikmah-hikmah dari perbuatan-perbuatan Khidhr|18:78-101
Celakalah orang-orang musyrik|18:102-102
Amat merugilah orang-orang yang terpedaya oleh dirinya sendiri|18:103-106
Surga Firdaus bagi orang-orang yang beramal saleh|18:107-0
Sebab Zakaria berdo'a memohon keturunan|19:1-6
Terkabulnya do'a Zakaria sebagai bukti kekuasaan Allah|19:7-11
Pengangkatan Yahya sebagai Nabi dan sifat-sifat keutamaannya|19:12-15
Kehamilan Maryam tanpa sentuhan seorang laki-laki|19:16-22
Kelahiran Nabi Isa a.s.|19:23-26
Tuduhan terhadap Maryam dan pembelaan Nabi Isa a.s. kepada ibunya|19:27-36
Pertentangan pendapat tentang Isa a.s.|19:37-8
Nabi Musa a.s. menerima permulaan wahyu|20:9-16
Dua macam mu'jizat Musa a.s.|20:17-23
Perintah Allah kepada Nabi Musa a.s. dan permohonan Nabi Musa a.s.|20:24-36
Ni'mat-ni'mat Allah kepada Nabi Musa a.s. sejak kecil|20:37-41
Musa a.s. dan Harun a.s. diperintah menghadap Fir'aun|20:42-56
Nabi Musa a.s. menundukkan tukang-tukang sihir Fir'aun|20:57-69
Tukang-tukang sihir Fir'aun menjadi orang-orang yang beriman|20:70-76
Pembelahan laut dan pembebasan Bani Israil|20:77-82
Teguran Allah kepada Nabi Musa a.s.|20:83-84
Pengkhianatan Samiri|20:85-91
Teguran Musa a.s. kepada Harun a.s. dan balasan Harun a.s.|20:92-94
Hardikan Musa a.s. terhadap Samiri|20:95-96
Azab yang ditimpakan kepada Samiri|20:97-98
Kisah umat-umat yang dahulu merupakan peringatan bagi manusia|20:99-104
Keadaan pada hari kiamat|20:105-0
Kedahsyatan hari kiamat|22:1-2
Celaan terhadap orang-orang yang membantah Tuhan|22:3-4
Proses kejadian manusia dan tumbuh-tumbuhan, adalah bukti yang nyata tentang kebenaran hari berbangkit|22:5-7
Celaan terhadap orang yang membantah Tuhan karena kesombongan dan untuk menyesatkan orang lain|22:8-10
Celaan terhadap orang-orang yang tidak berpendirian|22:11-13
Balasan terhadap orang yang beriman dan beramal saleh|22:14-14
Pertolongan Allah pasti datang|22:15-0
Tujuh buah sifat yang menjadikan orang-orang mu'min beruntung|23:1-11
Perkembangan kejadian manusia dan kehidupannya di akhirat|23:12-16
Langit dan segala sesuatu yang ada di bumi, diciptakan oleh Allah untuk kelanjutan kehidupan manusia yang wajib disyukuri|23:17-50
Hawa nafsu memecah belah manusia|23:51-56
Sifat-sifat seorang muslim yang mukhlis|23:57-61
Kewajiban menjalankan agama menurut kadar kemampuan manusia|23:62-62
Tempelakan terhadap orang-orang kafir dan azab yang diancamkan kepada mereka|23:63-77
Kendatipun dalil-dalil bagi kemungkinan terjadinya berbangkit di akhirat cukup banyak, namun orang-orang kafir tetap mengingkarinya|23:78-83
Sanggahan terhadap pendirian orang kafir yang bathil, terutama anggapan bahwa Tuhan punya anak atau sekutu|23:84-92
Do'a agar kita tidak dimasukkan ke dalam golongan orang-orang zalim, pedoman dalam menghadapi lawan dan perintah berlindung dari godaan-godaan syaitan|23:93-100
Peristiwa-peristiwa pada hari kiamat dan kedahsyatannya|23:101-114
Tuhan menciptakan manusia bukanlah dengan percuma|23:115-0
Hukum perzinaan|24:1-3
Hukum menuduh wanita yang baik-baik berzina|24:4-5
Hukum Li'an|24:6-10
Tuduhan yang bohong terhadap 'Aisyah r.a. Ummul Mu'minin|24:11-26
Pedoman-pedoman untuk memasuki rumah orang lain|24:27-29
Pedoman pergaulan antara laki-laki dan wanita yang bukan "mahram"|24:30-31
Anjuran berkawin|24:32-33
Pencerminan ayat-ayat Al Qur'an sebagai nur Ilahi pada langit dan bumi|24:34-35
Mereka yang mendapat pancaran nur Ilahi|24:36-38
Mereka yang tidak mendapatkan pancaran nur Ilahi|24:39-40
Pencerminan kekuasaan Allah|24:41-53
Kekuasaan yang dijanjikan Allah kepada orang yang ta'at dan mengerjakan amal saleh|24:54-57
Pedoman pergaulan dalam rumah tangga|24:58-61
Adab pergaulan orang-orang yang mu'min terhadap Rasul s.a.w.|24:62-0
Kekuasaan Allah dan keharmonisan ciptaannya|25:1-3
Tuduhan-tuduhan palsu dari orang-orang kafir terhadap Al Qur'an|25:4-6
Keheranan orang kafir tentang diutusnya rasul dari manusia biasa|25:7-16
Soal jawab antara Allah dengan sembahan-sembahan orang-orang kafir di hari kiamat|25:17-18
Para rasul diutus dari manusia biasa|25:19-20
Keadaan manusia yang tidak membenarkan Al Qur'an pada hari kiamat|25:21-9
Perintah Tuhan kepada Nabi Musa a.s untuk menyeru Fir'aun|26:10-17
Soal jawab antara Musa a.s. dan Fir 'aun|26:18-51
Perintah Tuhan kepada Musa a.s. untuk menyelamatkan Bani Israil dari Fir'aun dan pembinasaan Fir'aun|26:52-191
Perintah memberi peringatan kepada keluarga dan bersikap lemah lembut terhadap orang-orang mu 'min|26:192-220
Syaitan turun kepada pembohong-pembohong, dan peringatan kepada penyair-penyair|26:221-14
Sulaiman a.s. mewarisi kerajaan Daud a.s.|27:15-19
Pembicaraan Sulaiman dengan burung Hud-hud|27:20-0
Kekejaman Fir'aun dan pertolongan Allah kepada Bani Israil kaum yang tertindas|28:1-6
Musa a.s. dicampakkan ke dalam sungai Nil untuk menyelamatkan kaumnya dari kekejaman Fir'aun|28:7-13
Musa a.s. diberi ilham dan hikmah sebagai persiapan untuk menjadi rasul|28:14-19
Musa a.s. mendapat nasehat supaya meninggalkan negeri Mesir|28:20-28
Musa a.s. pulang ke Mesir dan menerima wahyu untuk menyeru Fir'aun|28:29-32
Permohonan Musa a.s. kepada Allah untuk mengangkat Harun a.s. menjadi pembantunya|28:33-37
Kesombongan Fir'aun dan keganasannya|28:38-42
Taurat diturunkan untuk menjadi petunjuk bagi Bani Israil|28:43-43
Kisah Musa a.s. menerima Taurat hanya diketahui Muhammad s.a.w. dengan wahyu|28:44-47
Orang-orang kafir selalu mengingkari bukti, sekalipun dahulu dimintanya|28:48-51
Sebagian ahli kitab ada yang beriman kepada Muhammad s.a.w. sesudah menyaksikan bukti kebenaran|28:52-55
Hanya Allah-lah yang dapat memberi taufik kepada hambanya untuk beriman|28:56-0
Cobaan itu adalah perlu|29:1-5
Tiap-tiap usaha manusia kemanfaatannya kembali kepada dirinya sendiri|29:6-7
Ajakan mempersekutukan Tuhan harus ditentang sekalipun datangnya dari ibu bapa|29:8-9
Sikap orang yang lemah imannya dalam menghadapi cobaan|29:10-13
Cobaan terhadap Nabi Nuh a.s.|29:14-15
Cobaan terhadap Nabi Ibrahim a.s. dan Nabi Luth a.s.|29:16-35
Cobaan terhadap Nabi Syu'aib a.s.|29:36-37
Cobaan terhadap Nabi Hud a.s. dan Nabi Shaleh a.s.|29:38-38
Cobaan terhadap Nabi Musa a.s.|29:39-39
Perlawanan terhadap kebenaran pasti hancur|29:40-44
Shalat mencegah kejahatan|29:45-45
Cara berdebat dengan orang-orang yang bukan Islam|29:46-52
Azab Allah pasti datang tepat pada waktunya|29:53-55
Kabar gembira untuk orang-orang yang beriman|29:56-59
Allah menentukan rezki tiap-tiap makhluk|29:60-63
Dalam keadaan bahaya, manusia mengakui kekuasaan Allah|29:64-0
Berita kemenangan bangsa Rumawi, Ahli Kitab, atas bangsa Persia, Musyrik|30:1-7
Kaum yang menentang Nabi Muhammad s.a.w. akan hancur seperti halnya kaum yang menentang nabi-nabi zaman dahulu|30:8-27
Suatu tamsil yang terdapat pada keadaan manusia tentang keesaan Allah|30:28-29
Manusia menurut fitrah beragama tauhid|30:30-32
Sifat-sifat manusia yang tercela|30:33-36
Allah mengatur pemberian rezki dan penggunaannya|30:37-0
Al-Quraan bukanlah ciptaan Muhammad s.a.w.|32:1-3
Masa terciptanya alam semesta|32:4-6
Proses kejadian manusia dan kebangkitannya di hari kiamat|32:7-11
Sebuah perbandingan antara mu'min dan kafir|32:12-22
Perintah Allah untuk menerima Al-Quraan dengan tidak ragu-ragu|32:23-0
Takwa dan tawakkal kepada Allah s.w.t.|33:1-3
Hukum zhihar dan kedudukan anak angkat|33:4-5
Kedudukan hubungan darah dalam hukum waris|33:6-48
Wanita yang diceraikan sebelum dicampuri tidak ada 'iddah dan harus diberi mut'ah|33:49-49
Wanita yang halal dinikahi oleh Rasul s.a.w.|33:50-50
Nabi boleh memilih di antara isteri-isterinya, siapa yang akan tetap dipegangnya dan siapa yang akan dilepasnya|33:51-51
Nabi tidak boleh kawin lagi sesudah ayat ini diturunkan|33:52-0
Gunanya Al Quraan diturunkan kepada Muhammad s.a.w.|36:1-6
Kebanyakan orang kafir pasti mendapat azab karena tidak mengindahkan peringatan Allah|36:7-10
Peringatan hanya berguna bagi orang yang takut kepada Allah|36:11-12
Kisah penduduk sebuah kota yang harus menjadi pelajaran bagi penduduk Mekah|36:13-29
Penyesalan terhadap orang-orang yang tidak beriman|36:30-32
Tanda-tanda kekuasaan Allah s.w.t.|36:33-50
Keadaan orang-orang mu'min dihari kiamat|36:51-59
Tempelak (cercaan) Allah terhadap orang-orang yang tidak beriman|36:60-68
Muhammad s.a.w. bukan seorang penyair|36:69-70
Kekuasaan Allah membangkitkan manusia di hari kiamat|36:71-0
Alam langit dipelihara dari gangguan syaitan|37:1-10
